# E  prob
4.51e+04  0.2941933485
4.71e+04  0.3995834005
4.92e+04  0.3723033607
5.15e+04  0.2818530498
5.38e+04  0.3810977651
5.62e+04  0.3988814095
5.88e+04  0.2873360124
6.14e+04  0.3580343695
6.42e+04  0.4161031834
6.71e+04  0.3181907681
7.02e+04  0.2869655743
7.33e+04  0.358568397
7.67e+04  0.3854291318
8.01e+04  0.337914839
8.38e+04  0.2878762204
8.76e+04  0.2897877698
9.15e+04  0.3390282082
9.57e+04  0.3793807399
1.00e+05  0.3618885668
1.05e+05  0.3059049337
1.09e+05  0.2769442496
1.14e+05  0.3077535535
1.19e+05  0.3645202837
1.25e+05  0.3904291861
1.30e+05  0.3645389368
1.36e+05  0.314072241
1.43e+05  0.2814692847
1.49e+05  0.2876917791
1.56e+05  0.3220924536
1.63e+05  0.3576143937
1.70e+05  0.3722122404
1.78e+05  0.3603714062
1.86e+05  0.3314881868
1.94e+05  0.3008632214
2.03e+05  0.2808249078
2.12e+05  0.2762794382
2.22e+05  0.2850038492
2.32e+05  0.3006922061
2.42e+05  0.3164404962
2.53e+05  0.3271839984
2.65e+05  0.3306479253
2.77e+05  0.3270965341
2.89e+05  0.3184455383
3.03e+05  0.3072562786
3.16e+05  0.2959370332
3.31e+05  0.2862746748
3.46e+05  0.2792770699
3.61e+05  0.2752364485
3.78e+05  0.2739103361
3.95e+05  0.2747351865
4.12e+05  0.2770178581
4.31e+05  0.2800784902
4.51e+05  0.2833392548
4.71e+05  0.2863658599
4.92e+05  0.288874038
5.15e+05  0.2907138937
5.38e+05  0.2918430437
5.62e+05  0.2922965667
5.88e+05  0.2921588728
6.14e+05  0.2915402042
6.42e+05  0.2905546413
6.71e+05  0.2893092711
7.02e+05  0.2879185641
7.33e+05  0.2864675052
7.67e+05  0.2850236574
8.01e+05  0.2836404781
8.38e+05  0.2823477676
8.76e+05  0.2811710834
9.15e+05  0.2801224648
9.57e+05  0.2792057537
1.00e+06  0.2784205177
1.05e+06  0.2777564587
1.09e+06  0.2772062414
1.14e+06  0.2767589517
1.19e+06  0.2764042559
1.25e+06  0.2761278216
1.30e+06  0.2759198139
1.36e+06  0.2757697249
1.43e+06  0.2756679559
1.49e+06  0.2756067326
1.56e+06  0.2755767492
1.63e+06  0.27557232
1.70e+06  0.275587794
1.78e+06  0.2756183827
1.86e+06  0.2756606071
1.94e+06  0.2757100411
2.03e+06  0.2757645503
2.12e+06  0.2758219432
2.22e+06  0.2758808481
2.32e+06  0.2759391236
2.42e+06  0.2759961291
2.53e+06  0.276051081
2.65e+06  0.2761034134
2.77e+06  0.2761529761
2.89e+06  0.2761990249
3.03e+06  0.2762416884
3.16e+06  0.2762809238
3.31e+06  0.2763169249
3.46e+06  0.2763494214
3.61e+06  0.2763787138
3.78e+06  0.2764049477
3.95e+06  0.276428287
4.12e+06  0.2764490147
4.31e+06  0.2764670882
4.51e+06  0.2764828077
4.71e+06  0.2764963542
4.92e+06  0.2765079794
5.15e+06  0.2765176963
5.38e+06  0.2765257496
5.62e+06  0.2765322933
5.88e+06  0.2765374723
6.14e+06  0.2765414705
6.42e+06  0.2765443135
6.71e+06  0.2765461711
7.02e+06  0.2765471515
7.33e+06  0.2765473543
7.67e+06  0.2765469018
8.01e+06  0.2765458129
8.38e+06  0.2765441977
8.76e+06  0.2765421255
9.15e+06  0.2765396809
9.57e+06  0.2765368755
1.00e+07  0.2765337845
