# E  prob
1.43e+03  0.3495420669
1.49e+03  0.3492096927
1.56e+03  0.3478642374
1.63e+03  0.3479753344
1.70e+03  0.3495094823
1.78e+03  0.3471910907
1.86e+03  0.3512690364
1.94e+03  0.3488277776
2.03e+03  0.3498464546
2.12e+03  0.3505886127
2.22e+03  0.3485898395
2.32e+03  0.3445522385
2.42e+03  0.3461960352
2.53e+03  0.3487333686
2.65e+03  0.3402905279
2.77e+03  0.3443502726
2.89e+03  0.3490385434
3.03e+03  0.3445546892
3.16e+03  0.3439357396
3.31e+03  0.3476336431
3.46e+03  0.3549631877
3.61e+03  0.3538926915
3.78e+03  0.3488380299
3.95e+03  0.3604076358
4.12e+03  0.3481542664
4.31e+03  0.3678539564
4.51e+03  0.3486885449
4.71e+03  0.3662438743
4.92e+03  0.3551415978
5.15e+03  0.3745712318
5.38e+03  0.3568806334
5.62e+03  0.3761197305
5.88e+03  0.3506440927
6.14e+03  0.380807355
6.42e+03  0.3369445111
6.71e+03  0.3473059703
7.02e+03  0.3449228731
7.33e+03  0.3378128452
7.67e+03  0.3320055225
8.01e+03  0.3363528753
8.38e+03  0.3426488527
8.76e+03  0.3252419699
9.15e+03  0.3534078834
9.57e+03  0.3525317029
1.00e+04  0.3130043148
1.05e+04  0.3181150463
1.09e+04  0.3467407055
1.14e+04  0.3527381902
1.19e+04  0.3454491349
1.25e+04  0.3399595408
1.30e+04  0.336463125
1.36e+04  0.3394232895
1.43e+04  0.3292226382
1.49e+04  0.3457261667
1.56e+04  0.3082287236
1.63e+04  0.3534956826
1.70e+04  0.3430725083
1.78e+04  0.3160799999
1.86e+04  0.3103266698
1.94e+04  0.3002605024
2.03e+04  0.3267053047
2.12e+04  0.2827185252
2.22e+04  0.2945961321
2.32e+04  0.3438854826
2.42e+04  0.3050969191
2.53e+04  0.3417889279
2.65e+04  0.3236813209
2.77e+04  0.3173613969
2.89e+04  0.303806078
3.03e+04  0.3439124554
3.16e+04  0.2948021042
3.31e+04  0.2974865709
3.46e+04  0.3369185466
3.61e+04  0.3436610297
3.78e+04  0.3041778137
3.95e+04  0.3256209909
4.12e+04  0.2927852014
4.31e+04  0.2969546486
4.51e+04  0.3357943083
4.71e+04  0.2949973846
4.92e+04  0.3445200804
5.15e+04  0.3478015553
5.38e+04  0.3344881151
5.62e+04  0.2876594624
5.88e+04  0.3413583663
6.14e+04  0.3192668834
6.42e+04  0.2566432201
6.71e+04  0.3202351622
