# E  prob
5.62e+03  0.3616120738
5.88e+03  0.3965365718
6.14e+03  0.359320831
6.42e+03  0.3762949562
6.71e+03  0.3530029515
7.02e+03  0.3953341052
7.33e+03  0.3701304166
7.67e+03  0.3850702388
8.01e+03  0.3761927436
8.38e+03  0.3733302604
8.76e+03  0.35765092
9.15e+03  0.3606697341
9.57e+03  0.3547488326
1.00e+04  0.3617584408
1.05e+04  0.376795469
1.09e+04  0.350967816
1.14e+04  0.3746931013
1.19e+04  0.3361988809
1.25e+04  0.3602792602
1.30e+04  0.335757502
1.36e+04  0.3442041006
1.43e+04  0.3431830051
1.49e+04  0.3363719469
1.56e+04  0.3757977264
1.63e+04  0.341211437
1.70e+04  0.3409244828
1.78e+04  0.3235105524
1.86e+04  0.3393622702
1.94e+04  0.3711711262
2.03e+04  0.3488035544
2.12e+04  0.3568274926
2.22e+04  0.3522980211
2.32e+04  0.3255857167
2.42e+04  0.3176393186
2.53e+04  0.3491785209
2.65e+04  0.290416108
2.77e+04  0.366424116
2.89e+04  0.313245531
3.03e+04  0.3192059612
3.16e+04  0.3544853562
3.31e+04  0.3599917983
3.46e+04  0.258328671
3.61e+04  0.3692734638
3.78e+04  0.278900654
3.95e+04  0.3728551608
4.12e+04  0.3177178775
4.31e+04  0.3381930941
4.51e+04  0.3700147091
4.71e+04  0.3054243184
4.92e+04  0.283180378
5.15e+04  0.3703427043
5.38e+04  0.2844091552
5.62e+04  0.3134625885
5.88e+04  0.3713081916
6.14e+04  0.3227022432
6.42e+04  0.3272502942
6.71e+04  0.3615731078
7.02e+04  0.3688393757
7.33e+04  0.3513696305
7.67e+04  0.3151921305
8.01e+04  0.3139521685
8.38e+04  0.3584435704
8.76e+04  0.3706503384
9.15e+04  0.3214095305
9.57e+04  0.2825682622
1.00e+05  0.3073221507
1.05e+05  0.3569129325
1.09e+05  0.3686427595
1.14e+05  0.3370307681
1.19e+05  0.3054775073
1.25e+05  0.3074585547
1.30e+05  0.3368596349
1.36e+05  0.365418739
1.43e+05  0.3733514176
1.49e+05  0.3618001358
1.56e+05  0.3447959094
1.63e+05  0.3353367005
1.70e+05  0.337739921
1.78e+05  0.3484272566
1.86e+05  0.3608620205
1.94e+05  0.3699341604
2.03e+05  0.3737181012
2.12e+05  0.3729701573
2.22e+05  0.3696913065
2.32e+05  0.3658527198
2.42e+05  0.3627413019
2.53e+05  0.3608751528
2.65e+05  0.360228698
2.77e+05  0.3605221353
2.89e+05  0.3614367771
3.03e+05  0.3627205729
3.16e+05  0.3642078294
3.31e+05  0.3657949889
3.46e+05  0.3674071181
3.61e+05  0.3689741389
3.78e+05  0.3704219982
3.95e+05  0.3716757237
4.12e+05  0.3726683828
4.31e+05  0.3733504836
4.51e+05  0.3736963654
4.71e+05  0.3737062763
4.92e+05  0.3734044192
5.15e+05  0.3728341183
5.38e+05  0.3720515072
5.62e+05  0.3711189928
5.88e+05  0.3700994043
6.14e+05  0.3690513569
6.42e+05  0.3679670071
6.71e+05  0.3667695516
7.02e+05  0.3656890753
7.33e+05  0.3647685932
7.67e+05  0.3640331218
8.01e+05  0.3635331987
8.38e+05  0.3631777259
8.76e+05  0.3630027982
9.15e+05  0.3629911036
9.57e+05  0.3631217517
1.00e+06  0.3633827489
